link,cpu,ram,hdd,ssd,graphic_ram,screen_size,stock_status,price
https://api.torob.com/v4/base-product/details-log-click/?prk=baddf0f3-731b-40cc-8743-25a3caa1f7c5,Core i7,16 gb,,512 gb,4 gb,16 inch,new,55120000
https://api.torob.com/v4/base-product/details-log-click/?prk=64d852d4-0be8-4d82-8e08-b35824d48548,Core i7,16 gb,,1 tb,6 gb,15.6 inch,new,111000000
https://api.torob.com/v4/base-product/details-log-click/?prk=e8ae853d-cf34-42b2-b016-461e3af99967,Core i7,16 gb,,1 tb,6 gb,16 inch,new,73100000
https://api.torob.com/v4/base-product/details-log-click/?prk=53b3c0d4-87f6-4497-abd4-0153d8ac51df,Core i7,32 gb,,1 tb,8 gb,15.6 inch,new,63000000
https://api.torob.com/v4/base-product/details-log-click/?prk=7f7fdd99-96b6-40a2-bf27-ba545cf55e73,Core i5,8 gb,,512 gb,4 gb,15.6 inch,new,39479000
https://api.torob.com/v4/base-product/details-log-click/?prk=0722b726-df50-441e-adcf-362801cd29a9,Core i7,16 gb,,1 tb,8 gb,15.6 inch,new,60480000
https://api.torob.com/v4/base-product/details-log-click/?prk=474cc06d-670d-44c7-b936-0034ab13dea6,M1,8 gb,,256 gb,unified,13 inch,new,44300000
https://api.torob.com/v4/base-product/details-log-click/?prk=4c989e0e-f5f8-4ef5-a5e1-969c0c4b5bab,Core i7,16 gb,,1 tb,unified,14 inch,new,51640000
https://api.torob.com/v4/base-product/details-log-click/?prk=a48d49dc-9be2-49c1-b785-83f67d750274,Celeron,4 gb,,256 gb,unified,15.6 inch,new,11950000
https://api.torob.com/v4/base-product/details-log-click/?prk=0a5b66e0-e03c-4d7a-9c7f-c93ece95a037,Core i7,32 gb,,1 tb,8 gb,16 inch,new,71950000
https://api.torob.com/v4/base-product/details-log-click/?prk=db15500f-e71b-415e-b946-04a9481fc678,Ryzen 9,16 gb,,1 tb,6 gb,15.6 inch,new,63195000
https://api.torob.com/v4/base-product/details-log-click/?prk=cd5e36c4-c8fb-4acd-95f2-7d98e35d883b,Core i7,16 gb,,1 tb,2 gb,15.6 inch,new,32600000
https://api.torob.com/v4/base-product/details-log-click/?prk=6996e76c-cdfe-4f83-a061-97b98d37f985,Core i7,16 gb,,512 gb,4 gb,15.6 inch,new,46800000
https://api.torob.com/v4/base-product/details-log-click/?prk=1913c157-15be-482b-8689-5b438eee7036,Core i7,16 gb,,512 gb,6 gb,15.6 inch,new,27900000
https://api.torob.com/v4/base-product/details-log-click/?prk=f1aaab76-4bbf-444a-b258-ed594ce03378,Core i7,16 gb,,1 tb,2 gb,15.6 inch,new,37198000
https://api.torob.com/v4/base-product/details-log-click/?prk=b2454b09-6a78-41a0-a194-7b31b39f1742,Core i5,16 gb,,512 gb,4 gb,17.3 inch,new,46879000
https://api.torob.com/v4/base-product/details-log-click/?prk=eea8bf38-3063-4041-b0f6-1b5f314e86f0,Ryzen 7,16 gb,,1 tb,8 gb,15.6 inch,new,65226000
https://api.torob.com/v4/base-product/details-log-click/?prk=b8180262-b51d-4ddb-a07a-edfb1ac2c0f6,Core i5,8 gb,,256 gb,unified,13.5 inch,new,18900000
https://api.torob.com/v4/base-product/details-log-click/?prk=3a6c821e-81d3-45ee-9000-be438ed2fc2e,Core i9,128 gb,,2 tb,16 gb,17.3 inch,new,0
https://api.torob.com/v4/base-product/details-log-click/?prk=07ea73e5-060f-4d27-a320-67e70a98c50b,Celeron,4 gb,,256 gb,unified,14 inch,new,16879000
https://api.torob.com/v4/base-product/details-log-click/?prk=bc577a27-17d2-498c-bb9e-b8875777df3e,Core i5,4 gb,,128 gb,,14 inch,stock,5500000
https://api.torob.com/v4/base-product/details-log-click/?prk=5526d569-516d-45e8-a655-03b70194c4e5,Core i7,32 gb,,1 tb,4 gb,16 inch,new,50600000
https://api.torob.com/v4/base-product/details-log-click/?prk=b972c9dd-f77d-424f-bb5d-6e36917eb585,Core i7,16 gb,,512 gb,6 gb,15.6 inch,new,51489000
https://api.torob.com/v4/base-product/details-log-click/?prk=d4907f36-f6b7-420c-aed9-bf1cbe4f4a9d,Core i7,8 gb,,512 gb,unified,16 inch,new,33079000
https://api.torob.com/v4/base-product/details-log-click/?prk=3f83f059-6847-48d1-9c84-081b8c303d5f,Core i7,8 gb,1 tb,,2 gb,15.6 inch,new,27054000
https://api.torob.com/v4/base-product/details-log-click/?prk=d9c59100-87e0-48de-9cbc-74f187679ab3,Ryzen 7,16 gb,,512 gb,unified,16 inch,new,32400000
https://api.torob.com/v4/base-product/details-log-click/?prk=aa7e5da2-1867-4dbb-9e92-a08e0ac9680d,Core i7,16 gb,,512 gb,2 gb,15.6 inch,new,28100000
https://api.torob.com/v4/base-product/details-log-click/?prk=57bb1ed6-5b53-4c71-b293-0fac0e3577a2,Core i3,4 gb,,,,17 inch,stock,8700000
https://api.torob.com/v4/base-product/details-log-click/?prk=6719e01e-7f16-488d-9f6b-63747702ae75,Core i7,32 gb,,1 tb,8 gb,16 inch,new,65380000
https://api.torob.com/v4/base-product/details-log-click/?prk=03d43f96-f06a-49fc-8624-01641e8b026b,Core i5,,,,,13.5 inch,stock,0
https://api.torob.com/v4/base-product/details-log-click/?prk=76559a3b-26ee-439c-b567-5d8422654d71,Core i5,8 gb,,256 gb,unified,13.3 inch,stock,17500000
https://api.torob.com/v4/base-product/details-log-click/?prk=531d3664-1b66-4a4f-855c-ad2863328a3d,Ryzen 9,16 gb,,512 gb,12 gb,15.6 inch,new,65090000
https://api.torob.com/v4/base-product/details-log-click/?prk=3963106f-d03c-4bee-8151-575d765973f2,Core i7,8 gb,,512 gb,unified,13.3 inch,new,44900000
https://api.torob.com/v4/base-product/details-log-click/?prk=ca1f1a06-306d-483e-8af3-974915c11fb8,Core i9,16 gb,,1 tb,6 gb,15.6 inch,new,100000
https://api.torob.com/v4/base-product/details-log-click/?prk=b5cf0a6d-c383-4077-8037-64acaa5d57fc,M2,96 gb,,1 tb,unified,14 inch,new,221900000
https://api.torob.com/v4/base-product/details-log-click/?prk=79d9240d-86c9-4648-8673-bf02f0fa9b42,Ryzen 7,16 gb,,1 tb,4 gb,15.6 inch,new,45699900
https://api.torob.com/v4/base-product/details-log-click/?prk=dea1f66e-a497-431d-90f5-266c6faf9781,Core i7,16 gb,,512 gb,2 gb,15 inch,new,18900000
https://api.torob.com/v4/base-product/details-log-click/?prk=dda4f5a7-2bb8-4fd9-ae53-d25ae33a1b34,Core i5,8 gb,,256 gb,2 gb,14 inch,stock,10510000
https://api.torob.com/v4/base-product/details-log-click/?prk=67c6eaee-01f3-46de-a489-a30d20bf2494,Core i7,16 gb,,512 gb,4 gb,15.6 inch,stock,20700000
https://api.torob.com/v4/base-product/details-log-click/?prk=79f6ae8b-ed25-418c-8645-0b6f1737eff5,Ryzen 7,16 gb,,1 tb,4 gb,16 inch,new,100000
https://api.torob.com/v4/base-product/details-log-click/?prk=35d29519-ea0d-48b7-9d9f-a02c90168f73,Core i5,8 gb,,128 gb,unified,12.4 inch,new,20600000
https://api.torob.com/v4/base-product/details-log-click/?prk=5ca3e946-5987-4cab-84cf-ed55042c24f4,Core i7,12 gb,,512 gb,2 gb,15.6 inch,new,25290000
